loss , kernel_size1,n_conv_1,Dense,Dropout,n_conv,lr,filters,time,filters_1,filters_2
0.4856647248566895, 39, 2, 200, 0.6, 0, 0.001, 100, 2247, 250, 40
1.366580484668685, 13, 1, 50, 0.4, 3, 0.001, 50, 43278, 500, 40
0.4268788664197151, 19, 0, 200, 0.4, 0, 0.0001, 100, 2185, 50, 40
0.4326615700114272, 19, 0, 200, 0.2, 0, 0.001, 100, 2298, 500, 60
0.76567079035208, 15, 0, 50, 0.4, 3, 0.0001, 100, 7286, 100, 60
1.156242127270326, 15, 3, 200, 0.6, 1, 0.001, 500, 19639, 100, 40
1.554629692503302, 39, 1, 200, 0.2, 3, 0.001, 250, 30074, 100, 40
1.344168645861625, 15, 1, 200, 0.4, 3, 0.0001, 500, 29209, 250, 60
0.7864660132708022, 15, 0, 50, 0.2, 3, 0.0001, 100, 11556, 100, 60
1.211701348073839, 19, 2, 50, 0.2, 2, 0.001, 250, 10088, 50, 40
0.4849010396700981, 39, 1, 100, 0.4, 0, 0.0001, 100, 1621, 50, 40
0.7514657282646527, 13, 3, 50, 0.4, 1, 0.0001, 250, 10320, 100, 60
1.394094553853527, 19, 1, 100, 0.4, 1, 0.0001, 500, 38753, 500, 60
1.153082238000902, 39, 2, 50, 0.6, 2, 0.001, 50, 63972, 500, 40
1.552431054243225, 15, 1, 200, 0.2, 1, 0.001, 250, 10712, 100, 40
1.256332920861431, 25, 3, 200, 0.6, 2, 0.0001, 50, 38337, 500, 40
1.873638803333943, 25, 0, 200, 0.2, 2, 0.001, 500, 19402, 50, 20
1.250011370174489, 19, 0, 100, 0.2, 2, 0.001, 50, 12819, 250, 60
1.127001204047277, 13, 0, 100, 0.6, 1, 0.001, 250, 5893, 100, 60
0.428272503899487, 25, 2, 100, 0.4, 0, 0.0001, 50, 1792, 250, 40
0.4386582174433845, 19, 0, 200, 0.2, 0, 0.0001, 100, 2078, 50, 20
0.43908041523429, 19, 0, 200, 0.2, 0, 0.0001, 100, 1754, 50, 20
0.4392343242949912, 19, 0, 200, 0.4, 0, 0.0001, 100, 2087, 500, 20
0.4362255856009885, 19, 0, 200, 0.4, 0, 0.001, 100, 2217, 500, 60
0.4391091749422194, 19, 0, 200, 0.4, 0, 0.0001, 100, 1752, 500, 20
0.4281796184286955, 19, 0, 200, 0.2, 0, 0.001, 100, 2200, 50, 60
0.4248301463611046, 25, 2, 100, 0.4, 0, 0.0001, 50, 1523, 250, 40
0.425633163302963, 25, 2, 100, 0.4, 0, 0.0001, 50, 1748, 250, 40
0.4275259864149521, 25, 2, 100, 0.4, 0, 0.0001, 50, 1544, 50, 40
0.4273174572360454, 25, 2, 100, 0.4, 0, 0.0001, 50, 1771, 250, 40
0.4262838508512274, 25, 2, 100, 0.4, 0, 0.0001, 50, 1109, 250, 40
0.4260108358729702, 25, 2, 100, 0.4, 0, 0.0001, 50, 1820, 250, 40
0.4265446961472341, 25, 2, 100, 0.4, 0, 0.0001, 50, 1576, 250, 40
0.4272763824347674, 25, 2, 100, 0.6, 0, 0.0001, 50, 1788, 250, 40
1.086180817890199, 13, 2, 100, 0.4, 3, 0.0001, 50, 16607, 250, 40
0.4263684979340888, 25, 2, 100, 0.4, 0, 0.0001, 50, 1783, 250, 40
1.089067224700577, 25, 3, 100, 0.4, 3, 0.0001, 50, 21350, 250, 40
0.8528785044263748, 39, 2, 100, 0.6, 0, 0.0001, 500, 8357, 250, 40
1.188026915588214, 25, 2, 50, 0.4, 1, 0.0001, 50, 8126, 250, 20
0.9853063498193315, 13, 3, 100, 0.4, 3, 0.0001, 50, 27941, 250, 40
1.173351782170003, 15, 2, 100, 0.4, 2, 0.0001, 500, 25497, 250, 40
0.4793953101369982, 25, 1, 50, 0.6, 0, 0.0001, 250, 4358, 250, 40
1.241188349792946, 39, 2, 100, 0.4, 3, 0.0001, 50, 17309, 100, 40
1.240170467219697, 15, 3, 50, 0.4, 1, 0.0001, 500, 31682, 250, 20
0.5489914527566726, 25, 2, 100, 0.4, 0, 0.0001, 250, 4498, 250, 40
1.128245523801904, 13, 1, 100, 0.6, 2, 0.0001, 50, 4074, 100, 40
0.4372811475171186, 39, 2, 50, 0.4, 0, 0.001, 50, 1874, 250, 40
1.319488170941141, 25, 3, 100, 0.4, 1, 0.0001, 250, 44132, 500, 60
1.434916345740612, 15, 1, 100, 0.6, 3, 0.001, 500, 15036, 100, 40
1.326188545846041, 25, 2, 100, 0.2, 2, 0.0001, 50, 13343, 250, 20
0.4355082199824212, 39, 2, 50, 0.4, 0, 0.0001, 50, 1106, 50, 60
1.621582971455911, 13, 1, 100, 0.4, 1, 0.001, 250, 9966, 250, 40
0.4405112306220673, 25, 2, 100, 0.2, 0, 0.0001, 50, 1649, 500, 40
0.5779399950838828, 15, 3, 50, 0.6, 2, 0.0001, 500, 22870, 100, 20
0.4138609908249274, 25, 2, 100, 0.4, 0, 0.001, 50, 1547, 250, 60
1.231120416113306, 25, 2, 100, 0.2, 3, 0.0001, 100, 5385, 50, 40
0.4701923297467063, 39, 1, 200, 0.4, 0, 0.001, 50, 1801, 500, 60
1.307537892861597, 13, 2, 100, 0.4, 1, 0.001, 250, 9896, 250, 60
0.4105644075398921, 25, 3, 50, 0.2, 0, 0.001, 50, 2002, 100, 60
1.21993830557208, 15, 2, 100, 0.4, 2, 0.001, 500, 15734, 50, 60
0.4738577637567538, 25, 3, 50, 0.2, 0, 0.001, 100, 2330, 100, 60
0.4106872491917199, 19, 3, 50, 0.2, 0, 0.001, 50, 1773, 100, 60
0.4190471707393956, 25, 3, 50, 0.2, 0, 0.001, 50, 1191, 100, 60
1.271109167565268, 25, 3, 50, 0.2, 1, 0.001, 250, 8257, 100, 60
1.212698098242909, 13, 3, 50, 0.2, 3, 0.001, 100, 6745, 100, 60
0.4249461049925107, 25, 3, 50, 0.2, 0, 0.001, 50, 1723, 100, 60
0.4119656226661201, 19, 3, 50, 0.2, 0, 0.001, 50, 1832, 100, 60
0.410604772165882, 19, 3, 50, 0.2, 0, 0.001, 50, 1828, 100, 60
0.4086233536326236, 19, 3, 50, 0.2, 0, 0.001, 50, 1878, 100, 60
0.4110782009237032, 19, 3, 50, 0.2, 0, 0.001, 50, 1178, 100, 60
0.4137692466723364, 19, 3, 50, 0.2, 0, 0.001, 50, 1791, 100, 60
0.4097113737839894, 19, 3, 50, 0.2, 0, 0.001, 50, 1799, 100, 60
0.4105824329538795, 19, 3, 50, 0.2, 0, 0.001, 50, 1934, 100, 60
0.4088396284157506, 19, 3, 50, 0.2, 0, 0.001, 50, 1175, 100, 60
0.4107017229545357, 19, 3, 50, 0.2, 0, 0.001, 50, 1726, 100, 60
0.4071228657488306, 19, 3, 50, 0.2, 0, 0.001, 50, 1818, 100, 60
1.33181478583481, 19, 3, 50, 0.2, 2, 0.001, 500, 15090, 100, 60
0.4184491715467368, 19, 3, 50, 0.2, 0, 0.001, 50, 1949, 100, 60
0.429328051706569, 19, 0, 50, 0.2, 0, 0.001, 100, 1393, 100, 60
1.176249308082347, 19, 3, 50, 0.2, 3, 0.001, 50, 6906, 100, 60
1.411794329579523, 19, 3, 200, 0.2, 1, 0.001, 250, 7422, 100, 20
0.4098795595426914, 19, 3, 50, 0.2, 0, 0.001, 50, 1879, 500, 60
0.4319472767783888, 19, 0, 50, 0.2, 0, 0.001, 50, 944, 100, 60
0.8901887060234773, 19, 3, 50, 0.6, 2, 0.001, 500, 17690, 50, 60
0.5698305992280776, 19, 1, 200, 0.2, 0, 0.001, 50, 1031, 100, 20
1.317724586129089, 19, 3, 50, 0.2, 3, 0.001, 100, 8433, 100, 60
0.4095871789249613, 19, 3, 50, 0.2, 0, 0.001, 50, 1186, 500, 60
1.2230863000051, 39, 0, 50, 0.6, 1, 0.001, 50, 3171, 100, 60
0.939815429961, 19, 3, 200, 0.2, 0, 0.001, 250, 3145, 50, 20
1.404896682946806, 15, 1, 50, 0.2, 2, 0.001, 500, 22657, 100, 60
0.4044586517695208, 19, 3, 50, 0.2, 0, 0.001, 50, 1305, 100, 60
0.4064933722207117, 13, 3, 50, 0.6, 0, 0.001, 50, 1239, 500, 60
1.96613361618555, 39, 0, 50, 0.2, 3, 0.001, 100, 10289, 100, 20
0.6419956254335348, 19, 3, 200, 0.2, 1, 0.001, 50, 2136, 50, 60
0.6898527382572697, 15, 1, 50, 0.2, 0, 0.001, 250, 2995, 100, 60
0.4113005855255893, 13, 3, 50, 0.6, 0, 0.001, 50, 1208, 500, 60
1.174540677451626, 13, 3, 50, 0.6, 2, 0.001, 500, 51357, 500, 20
0.4098053121344286, 13, 3, 200, 0.6, 0, 0.001, 50, 1902, 500, 60
1.211301455287571, 13, 0, 50, 0.6, 3, 0.001, 100, 51771, 500, 60
0.4074378557511915, 13, 3, 50, 0.6, 0, 0.001, 50, 1266, 500, 60
